action_n,t,step,queue,dmax,shoulder_pan,shoulder_lift,elbow_flex,wrist_flex,wrist_roll,gripper
1,0.97,0,50,,-4.4,-101.72,88.93,74.94,-1.28,0.81
2,1.00,1,49,0.312,-4.47,-101.71,88.62,74.96,-1.36,0.89
3,1.04,2,48,0.192,-4.67,-101.77,88.54,74.92,-1.4,0.85
4,1.07,3,47,0.055,-4.69,-101.8,88.58,74.95,-1.41,0.9
5,1.10,4,46,0.461,-4.77,-102.26,88.63,74.87,-1.46,0.82
6,1.14,5,45,0.436,-4.76,-101.82,88.46,74.87,-1.5,0.75
7,1.17,6,44,0.361,-4.84,-101.84,88.82,74.7,-1.61,0.78
8,1.20,7,43,0.356,-4.69,-101.96,88.46,74.62,-1.65,0.81
9,1.24,8,42,0.267,-4.71,-101.69,88.52,74.4,-1.68,0.72
10,1.27,9,41,0.253,-4.77,-101.8,88.33,74.15,-1.72,0.75
11,1.30,10,40,0.138,-4.68,-101.78,88.34,74.01,-1.72,0.8
12,1.34,11,39,0.451,-4.7,-101.59,88.46,73.56,-1.73,0.75
13,1.37,12,38,0.323,-4.58,-101.86,88.29,73.24,-1.73,0.92
14,1.41,13,37,0.281,-4.86,-101.59,88.02,73.03,-1.76,0.79
15,1.44,14,36,0.503,-4.57,-101.42,88.05,72.53,-1.78,0.78
16,1.47,15,35,0.241,-4.65,-101.5,88.23,72.29,-1.75,0.85
17,1.51,16,34,0.344,-4.77,-101.7,88.24,71.94,-1.68,0.81
18,1.54,17,33,0.529,-4.77,-101.36,88.15,71.41,-1.64,0.67
19,1.57,18,32,0.201,-4.94,-101.16,88.32,71.25,-1.71,0.78
20,1.61,19,31,0.583,-5.53,-101.42,88.17,70.9,-1.76,0.72
21,1.64,20,30,0.585,-5.52,-101.74,88.76,70.85,-1.69,0.67
22,1.67,21,29,0.643,-5.86,-101.1,88.44,70.69,-1.63,0.73
23,1.71,22,28,0.273,-6.02,-101.06,88.17,70.52,-1.66,0.81
24,1.74,23,27,0.325,-6.14,-101.39,88.2,70.46,-1.62,0.77
25,1.77,24,26,0.215,-6.15,-101.31,88.11,70.25,-1.67,0.75
26,1.81,25,25,0.125,-6.28,-101.2,88.1,70.37,-1.66,0.77
27,1.84,26,24,0.229,-6.27,-101.39,87.88,70.14,-1.65,0.66
28,1.87,27,23,0.459,-6.41,-100.93,88.08,70.04,-1.74,0.75
29,1.91,28,22,0.698,-6.23,-101.63,87.87,69.73,-1.67,0.65
30,1.94,29,21,0.306,-6.15,-101.39,87.56,69.47,-1.63,0.67
31,1.97,30,20,0.130,-6.15,-101.35,87.66,69.34,-1.69,0.74
32,2.01,31,19,0.475,-6.11,-101.55,87.18,68.94,-1.67,0.67
33,2.04,32,18,0.140,-5.97,-101.5,87.25,68.83,-1.69,0.64
34,2.07,33,17,0.512,-6.09,-101.3,86.74,68.7,-1.62,0.64
35,2.11,34,16,0.510,-6.38,-101.43,87.25,68.63,-1.73,0.63
36,2.14,35,15,0.291,-6.43,-101.69,86.96,68.65,-1.74,0.67
37,2.17,36,18,2.107,-6.9,-101.96,86.53,66.54,-1.18,0.82
38,2.21,37,17,0.448,-6.95,-102.41,86.78,66.39,-1.19,0.74
39,2.24,38,16,0.788,-6.88,-101.62,86.14,66.38,-1.19,0.8
40,2.27,39,15,0.490,-7.17,-102.11,86.56,66.33,-1.25,0.66
41,2.31,40,14,0.404,-7.31,-102.32,86.16,66.07,-1.22,0.78
42,2.34,41,13,0.513,-7.33,-101.81,86.42,65.66,-1.2,0.78
43,2.37,42,12,0.289,-7.42,-102.05,86.13,65.55,-1.22,0.78
44,2.41,43,11,0.471,-7.61,-102.12,85.66,65.25,-1.21,0.81
45,2.44,44,10,0.626,-7.43,-101.82,86.28,64.88,-1.23,0.77
46,2.48,45,9,0.283,-7.58,-101.71,86.44,64.6,-1.2,0.75
47,2.51,46,8,0.444,-7.59,-101.53,85.99,64.62,-1.25,0.69
48,2.54,47,7,0.424,-7.4,-101.95,85.85,64.53,-1.24,0.86
49,2.58,48,6,0.279,-7.33,-101.72,85.76,64.26,-1.25,0.77
50,2.61,49,5,0.585,-7.38,-101.77,86.34,64.29,-1.26,0.75
51,2.64,50,4,1.453,-6.57,-101.55,85.85,62.84,-1.08,0.82
52,2.68,51,3,1.010,-6.14,-101.42,84.84,62.95,-1.04,0.8
53,2.71,52,2,0.726,-6.43,-102.14,84.72,62.92,-0.95,0.86
54,2.74,53,1,0.984,-6.54,-101.85,85.71,63.03,-0.91,0.82
55,3.08,54,31,2.752,-5.65,-99.09,84.14,64.19,-1.99,1.07
56,3.11,55,30,1.223,-5.59,-100.32,85.09,63.96,-2.05,1.08
57,3.14,56,29,0.860,-5.71,-99.8,84.23,63.92,-2.05,1.19
58,3.18,57,28,0.442,-5.52,-99.55,84.67,64.08,-2.07,1.2
59,3.21,58,27,1.031,-5.67,-99.26,83.64,64.18,-2.11,1.23
60,3.24,59,26,0.205,-5.63,-99.21,83.53,64.13,-2.16,1.02
61,3.28,60,25,1.159,-5.36,-98.05,82.69,64.22,-2.0,1.1
62,3.31,61,24,0.456,-5.5,-97.67,82.23,64.16,-1.84,1.23
63,3.34,62,23,1.638,-5.36,-96.03,80.98,64.14,-1.95,1.26
64,3.38,63,22,1.319,-5.26,-94.71,79.96,63.8,-1.87,1.13
65,3.41,64,21,1.245,-5.51,-93.73,78.72,63.58,-1.98,1.24
66,3.45,65,20,2.363,-5.46,-91.36,78.54,63.8,-2.14,1.18
67,3.48,66,19,2.021,-5.59,-89.34,76.93,63.3,-2.01,1.23
68,3.51,67,18,1.656,-5.6,-87.69,76.1,63.11,-2.06,1.12
69,3.55,68,17,2.016,-5.54,-85.67,74.32,63.04,-2.08,1.22
70,3.58,69,16,1.566,-5.74,-84.1,73.09,62.81,-2.12,1.26
71,3.61,70,15,2.646,-5.87,-81.46,71.54,62.67,-2.06,1.21
72,3.65,71,14,1.475,-6.16,-80.17,70.06,62.42,-2.18,1.13
73,3.68,72,13,1.855,-6.08,-78.32,70.37,62.16,-2.16,1.08
74,3.71,73,12,1.744,-6.19,-77.27,68.63,61.74,-2.11,1.08
75,3.75,74,11,1.802,-6.46,-75.47,67.79,61.44,-2.23,1.23
76,3.78,75,10,1.758,-6.61,-73.71,67.06,61.2,-2.34,1.05
77,3.81,76,9,1.218,-6.81,-72.49,66.03,60.82,-2.4,0.99
78,3.85,77,8,1.731,-7.06,-70.93,64.3,60.43,-2.63,1.07
79,3.88,78,7,1.129,-7.2,-69.8,64.16,59.99,-2.8,1.02
80,3.91,79,6,2.193,-7.18,-68.16,61.97,59.84,-3.01,1.23
81,3.95,80,5,1.295,-7.63,-66.86,61.46,59.68,-3.38,1.07
82,3.98,81,22,23.069,-7.53,-89.93,76.0,62.48,-1.96,1.11
83,4.01,82,21,0.686,-7.46,-89.25,75.5,62.5,-2.1,1.18
84,4.05,83,20,0.821,-7.49,-88.42,75.09,62.49,-2.15,1.18
85,4.08,84,19,0.605,-7.58,-88.03,74.48,62.4,-2.18,1.16
86,4.11,85,18,9.592,-7.43,-97.62,81.17,63.19,-1.13,1.12
87,4.15,86,17,1.665,-7.38,-95.95,80.63,63.07,-1.16,1.11
88,4.18,87,16,1.816,-7.55,-94.14,79.85,62.76,-1.16,1.05
89,4.21,88,15,1.608,-7.19,-92.53,78.25,62.0,-1.24,0.96
90,4.25,89,14,2.707,-7.2,-89.82,77.55,61.72,-1.29,1.12
91,4.28,90,13,1.835,-7.32,-87.99,76.13,61.11,-1.31,1.03
92,4.31,91,12,2.031,-7.26,-85.96,74.9,60.9,-1.38,1.15
93,4.35,92,11,1.263,-7.1,-84.7,74.27,60.36,-1.42,0.99
94,4.38,93,10,2.454,-6.82,-82.24,73.07,60.03,-1.46,1.0
95,4.41,94,9,1.156,-7.15,-81.09,72.19,60.0,-1.38,0.98
96,4.45,95,8,2.781,-7.12,-78.3,71.23,59.42,-1.48,1.19
97,4.48,96,7,2.010,-7.13,-76.46,69.22,58.48,-1.68,0.95
98,4.52,97,6,2.730,-7.03,-73.73,68.23,57.85,-1.71,1.07
99,4.55,98,5,1.652,-7.2,-72.11,66.57,57.35,-1.89,1.03
100,4.58,99,4,2.590,-7.06,-69.52,65.09,56.79,-2.02,1.06
101,4.62,100,3,2.308,-6.73,-67.21,63.59,56.35,-2.0,1.25
102,4.65,101,2,2.138,-7.06,-65.07,62.19,55.92,-2.17,1.06
103,4.68,102,1,2.005,-6.95,-63.06,60.64,55.69,-2.26,1.04
104,4.88,103,27,18.489,-6.34,-44.57,48.59,58.29,-3.17,1.83
105,4.92,104,26,1.144,-6.38,-43.43,48.02,58.09,-3.19,1.97
106,4.95,105,25,0.887,-6.54,-42.54,48.0,58.06,-3.24,2.18
107,4.98,106,24,0.591,-6.7,-42.21,48.18,58.19,-3.23,2.77
108,5.02,107,23,1.577,-6.5,-41.35,46.6,58.15,-3.19,3.81
109,5.05,108,22,1.500,-6.46,-40.35,46.67,58.22,-3.17,5.31
110,5.08,109,21,1.752,-6.63,-39.5,46.46,58.37,-3.2,7.06
111,5.12,110,20,1.968,-6.67,-38.42,45.28,58.67,-3.29,9.03
112,5.15,111,19,1.969,-6.5,-37.66,44.83,58.62,-3.24,11.0
113,5.18,112,18,1.818,-6.63,-37.27,44.72,59.02,-3.42,12.81
114,5.22,113,17,1.964,-6.33,-35.95,44.42,59.08,-3.56,14.78
115,5.25,114,16,1.781,-6.42,-35.04,43.73,59.39,-3.58,16.56
116,5.28,115,15,1.846,-6.31,-34.26,42.85,59.41,-3.45,18.4
117,5.32,116,14,1.541,-6.33,-33.02,42.68,59.66,-3.56,19.95
